Normalization Method,Target,Mask,Path to folder
histomicsTK_macenko_nomasking,target_is_reference_full,False,histomicsTK_macenko_nomasking/target_is_reference_full/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_macenko_nomasking.jpg
histomicsTK_macenko_withmasking,target_is_reference_full,False,histomicsTK_macenko_withmasking/target_is_reference_full/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_macenko_withmasking.jpg
histomicsTK_macenko_withmasking,target_is_reference_full,True,histomicsTK_macenko_withmasking/target_is_reference_full/mask_macenko_wsi.jpg
histomicsTK_reinhard_nomasking,target_is_default,False,histomicsTK_reinhard_nomasking/target_is_default/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_reinhard_nomasking.jpg
histomicsTK_reinhard_nomasking,target_is_reference_full,False,histomicsTK_reinhard_nomasking/target_is_reference_full/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_reinhard_nomasking.jpg
histomicsTK_reinhard_withmasking,target_is_default,False,histomicsTK_reinhard_withmasking/target_is_default/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_reinhard_withmasking.jpg
histomicsTK_reinhard_withmasking,target_is_default,True,histomicsTK_reinhard_withmasking/target_is_default/mask_reinhard_wsi.jpg
histomicsTK_reinhard_withmasking,target_is_reference_full,False,histomicsTK_reinhard_withmasking/target_is_reference_full/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_histomicsTK_reinhard_withmasking.jpg
histomicsTK_reinhard_withmasking,target_is_reference_full,True,histomicsTK_reinhard_withmasking/target_is_reference_full/mask_reinhard_wsi.jpg
staintools_reinhard,target_is_reference_full,False,staintools_reinhard/target_is_reference_full/BCSA4_A2_sATAC_C1_adjacent-Spot000001_v3_newrot_newcrop_realcolors_nofakescaling_st_reinhard_normalized.jpg
