,Normalization Method,Target,Number of .jpg Files,Path to folder
0,histomicsTK_macenko_nomasking,target_is_reference_full,3592,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_macenko_nomasking/target_is_reference_full
1,histomicsTK_macenko_withmasking,target_is_reference_full,3592,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_macenko_withmasking/target_is_reference_full
2,histomicsTK_reinhard_nomasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_reinhard_nomasking/target_is_reference_full
3,histomicsTK_reinhard_withmasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_reinhard_withmasking/target_is_reference_full
4,stainGAN_model_A,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainGAN/model_A
5,stainGAN_model_B,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainGAN/model_B
6,stainNET,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainNET
7,staintools_macenko,target_is_reference_full,3189,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_macenko/target_is_reference_full
8,staintools_reinhard,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_reinhard/target_is_reference_full
9,staintools_vahadane,target_is_reference_full,3199,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_vahadane/target_is_reference_full
10,torch_vahadane,target_is_reference_full,3198,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane/target_is_reference_full
11,torch_vahadane,target_is_reference_full,3206,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane/target_is_reference_full/gpu
12,torch_vahadane_cpu,target_is_reference_full,3199,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane_cpu/target_is_reference_full
13,torch_vahadane_gpu,target_is_reference_full,3206,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane_gpu/target_is_reference_full
